,0
0,50
1,53
2,55
3,55
4,57
5,53
6,50
7,53
8,55
9,55
10,55
11,60
12,57
13,57
14,62
15,62
16,62
17,65
18,64
19,62
20,60
21,58
22,57
23,55
24,50
25,57
